instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,estimated_travel_time,stationary_time,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-timed-n5-mem-medium-corr-low-seed-0,timed,0,5,medium,0.6,14,22,1.571429,2.0,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4.0, 3.0, 3.0, 5.0, 3.0]","[9.0, 8.0, 9.0, 13.0, 13.0]",solved,True,ENHSP default,60.0,0.703975,0,82,35.0,35.0,32.0,3.0,26,16,5,5,18,35.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-medium-corr-low-seed-0.txt,
rover-timed-n5-mem-medium-corr-medium-seed-0,timed,0,5,medium,0.6,14,22,1.571429,2.0,medium,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[2.0, 1.0, 1.0, 3.0, 1.0]","[7.0, 6.0, 7.0, 11.0, 11.0]",solved,True,ENHSP default,60.0,0.653216,0,82,35.0,35.0,32.0,3.0,26,16,5,5,18,35.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-medium-corr-medium-seed-0.txt,
rover-timed-n5-mem-medium-corr-high-seed-0,timed,0,5,medium,0.6,14,22,1.571429,2.0,high,2,3,False,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[1.0, -1.0, -1.0, 2.0, -1.0]","[6.0, 4.0, 5.0, 10.0, 9.0]",unsolvable,False,ENHSP default,60.0,0.917511,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-medium-corr-high-seed-0.txt,
rover-timed-n5-mem-high-corr-low-seed-0,timed,0,5,high,1.0,22,22,1.0,2.0,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4.0, 3.0, 3.0, 5.0, 3.0]","[9.0, 8.0, 9.0, 13.0, 13.0]",solved,True,ENHSP default,60.0,0.720667,0,86,39.0,39.0,32.0,7.0,26,16,5,5,19,39.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-high-corr-low-seed-0.txt,
rover-timed-n5-mem-high-corr-medium-seed-0,timed,0,5,high,1.0,22,22,1.0,2.0,medium,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[2.0, 1.0, 1.0, 3.0, 1.0]","[7.0, 6.0, 7.0, 11.0, 11.0]",solved,True,ENHSP default,60.0,0.653844,0,82,35.0,35.0,32.0,3.0,26,16,5,5,18,35.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-high-corr-medium-seed-0.txt,
rover-timed-n5-mem-high-corr-high-seed-0,timed,0,5,high,1.0,22,22,1.0,2.0,high,2,3,False,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[1.0, -1.0, -1.0, 2.0, -1.0]","[6.0, 4.0, 5.0, 10.0, 9.0]",unsolvable,False,ENHSP default,60.0,0.987836,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-high-corr-high-seed-0.txt,
rover-timed-n7-mem-low-corr-low-seed-0,timed,0,7,low,0.35,12,32,2.666667,2.0,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 3.0]","[8.0, 8.0, 9.0, 13.0, 13.0, 17.0, 17.0]",solved,True,ENHSP default,60.0,1.013979,0,154,69.0,69.0,64.0,5.0,46,32,7,7,35,69.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-low-corr-low-seed-0.txt,
rover-timed-n7-mem-low-corr-medium-seed-0,timed,0,7,low,0.35,12,32,2.666667,2.0,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0]","[6.0, 6.0, 7.0, 11.0, 11.0, 15.0, 15.0]",solved,True,ENHSP default,60.0,0.878512,0,153,68.0,68.0,64.0,4.0,46,32,7,7,35,68.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-low-corr-medium-seed-0.txt,
rover-timed-n7-mem-low-corr-high-seed-0,timed,0,7,low,0.35,12,32,2.666667,2.0,high,3,4,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[1.0, -1.0, -1.0, 2.0, -1.0, 2.0, -1.0]","[5.0, 4.0, 5.0, 10.0, 9.0, 14.0, 13.0]",unsolvable,False,ENHSP default,60.0,5.185856,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-low-corr-high-seed-0.txt,
rover-timed-n7-mem-medium-corr-low-seed-0,timed,0,7,medium,0.6,20,32,1.6,2.0,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 3.0]","[8.0, 8.0, 9.0, 13.0, 13.0, 17.0, 17.0]",solved,True,ENHSP default,60.0,1.172635,0,168,79.0,79.0,68.0,11.0,48,34,7,7,40,79.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-medium-corr-low-seed-0.txt,
rover-timed-n7-mem-medium-corr-medium-seed-0,timed,0,7,medium,0.6,20,32,1.6,2.0,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0]","[6.0, 6.0, 7.0, 11.0, 11.0, 15.0, 15.0]",solved,True,ENHSP default,60.0,0.886459,0,162,73.0,73.0,68.0,5.0,48,34,7,7,38,73.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-medium-corr-medium-seed-0.txt,
rover-timed-n7-mem-medium-corr-high-seed-0,timed,0,7,medium,0.6,20,32,1.6,2.0,high,3,4,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[1.0, -1.0, -1.0, 2.0, -1.0, 2.0, -1.0]","[5.0, 4.0, 5.0, 10.0, 9.0, 14.0, 13.0]",unsolvable,False,ENHSP default,60.0,8.129464,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-medium-corr-high-seed-0.txt,
rover-timed-n7-mem-high-corr-low-seed-0,timed,0,7,high,1.0,32,32,1.0,2.0,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 3.0]","[8.0, 8.0, 9.0, 13.0, 13.0, 17.0, 17.0]",solved,True,ENHSP default,60.0,1.063734,0,170,81.0,81.0,68.0,13.0,48,34,7,7,41,81.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-high-corr-low-seed-0.txt,
rover-timed-n7-mem-high-corr-medium-seed-0,timed,0,7,high,1.0,32,32,1.0,2.0,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0]","[6.0, 6.0, 7.0, 11.0, 11.0, 15.0, 15.0]",solved,True,ENHSP default,60.0,0.99057,0,162,73.0,73.0,68.0,5.0,48,34,7,7,38,73.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-high-corr-medium-seed-0.txt,
rover-timed-n7-mem-high-corr-high-seed-0,timed,0,7,high,1.0,32,32,1.0,2.0,high,3,4,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[1.0, -1.0, -1.0, 2.0, -1.0, 2.0, -1.0]","[5.0, 4.0, 5.0, 10.0, 9.0, 14.0, 13.0]",unsolvable,False,ENHSP default,60.0,8.138447,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n7-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n7-mem-high-corr-high-seed-0.txt,
